agea,gndr,cntry,eduyrs,hinctnta,hinctnta_was_missing,polintr,lrscale,lr_extreme,clsprty,trust_index,contplt,sgnptit,efficacy_index,satisfaction_index,vote
65.0,1,AT,12.0,6.0,0,4.0,5.0,0.0,1,6.25,0,0,4.333333333333333,5.333333333333333,1
21.0,0,AT,14.0,1.0,0,3.0,0.0,5.0,1,3.25,0,1,2.6666666666666665,4.666666666666667,1
53.0,0,AT,16.0,5.0,0,3.0,3.0,2.0,1,5.0,1,1,3.6666666666666665,5.666666666666667,1
78.0,0,AT,14.0,2.0,0,2.0,5.0,0.0,0,4.25,0,0,2.3333333333333335,4.666666666666667,0
64.0,1,AT,12.0,5.0,1,3.0,2.0,3.0,1,6.0,0,1,3.3333333333333335,7.0,1
59.0,0,AT,16.0,9.0,0,3.0,4.0,1.0,0,4.5,0,0,2.3333333333333335,3.0,1
77.0,0,AT,8.0,3.0,0,3.0,4.0,1.0,1,5.0,0,0,2.0,5.0,1
69.0,0,AT,17.0,10.0,0,4.0,3.0,2.0,1,7.75,1,1,4.333333333333333,6.666666666666667,1
52.0,0,AT,12.0,8.0,0,2.0,5.0,0.0,0,4.5,0,0,2.0,6.333333333333333,1
75.0,0,AT,9.0,3.0,0,3.0,5.0,0.0,0,8.0,0,0,3.0,7.333333333333333,1
44.0,0,AT,17.0,4.0,0,4.0,4.0,1.0,1,6.5,0,1,3.0,6.0,1
49.0,1,AT,14.0,6.0,0,3.0,4.0,1.0,0,5.25,0,0,2.3333333333333335,6.333333333333333,0
63.0,0,AT,12.0,5.0,1,2.0,5.0,0.0,0,7.0,0,0,3.6666666666666665,8.666666666666666,1
76.0,0,AT,13.0,5.0,1,3.0,5.0,0.0,0,2.0,0,0,3.0,2.0,0
30.0,0,AT,13.0,8.0,0,2.0,3.0,2.0,1,7.75,0,0,3.6666666666666665,6.0,1
67.0,0,AT,11.0,5.0,0,4.0,3.0,2.0,0,3.0,0,0,2.3333333333333335,5.0,1
41.0,1,AT,13.0,8.0,0,4.0,3.0,2.0,1,7.0,0,0,2.0,3.0,1
