cntry,n,turnout_actual %,turnout_pred %,accuracy,recall_minority,precision_minority
NO,180.0,90.55555555555556,91.11111111111111,0.85,0.17647058823529413,0.1875
SE,178.0,95.50561797752809,94.9438202247191,0.9382022471910112,0.375,0.3333333333333333
FI,224.0,86.60714285714286,83.03571428571429,0.8214285714285714,0.4666666666666667,0.3684210526315789
BE,210.0,87.14285714285714,80.0,0.7952380952380952,0.48148148148148145,0.30952380952380953
NL,233.0,86.26609442060087,88.41201716738198,0.8841201716738197,0.5,0.5925925925925926
SK,211.0,79.14691943127961,65.40284360189574,0.6635071090047393,0.5227272727272727,0.3150684931506849
IS,113.0,92.03539823008849,81.41592920353983,0.8230088495575221,0.5555555555555556,0.23809523809523808
RS,223.0,79.82062780269058,62.78026905829597,0.6591928251121076,0.5777777777777777,0.3132530120481928
SI,173.0,82.65895953757226,69.36416184971098,0.7283236994219653,0.6,0.33962264150943394
DE,324.0,88.27160493827161,80.24691358024691,0.8271604938271605,0.6052631578947368,0.359375
CY,95.0,76.84210526315789,62.10526315789474,0.6842105263157895,0.6363636363636364,0.3888888888888889
PL,205.0,86.34146341463415,80.97560975609757,0.848780487804878,0.6428571428571429,0.46153846153846156
HU,305.0,77.70491803278688,64.91803278688525,0.7147540983606557,0.6470588235294118,0.411214953271028
PT,194.0,74.74226804123711,60.824742268041234,0.6958762886597938,0.673469387755102,0.4342105263157895
GR,404.0,83.41584158415841,66.83168316831683,0.7301980198019802,0.6865671641791045,0.34328358208955223
ME,232.0,78.87931034482759,64.22413793103449,0.7241379310344828,0.6938775510204082,0.40963855421686746
EE,177.0,74.01129943502825,64.97175141242938,0.7627118644067796,0.717391304347826,0.532258064516129
ES,248.0,78.62903225806451,61.693548387096776,0.717741935483871,0.7358490566037735,0.4105263157894737
CH,161.0,66.45962732919256,55.90062111801242,0.7204968944099379,0.7407407407407407,0.5633802816901409
GB,236.0,73.72881355932203,57.20338983050848,0.6991525423728814,0.7419354838709677,0.45544554455445546
AT,328.0,80.79268292682927,71.64634146341463,0.8292682926829268,0.7936507936507936,0.5376344086021505
IE,281.0,81.13879003558719,66.90391459074732,0.7864768683274022,0.8113207547169812,0.46236559139784944
HR,217.0,74.65437788018433,53.45622119815668,0.695852534562212,0.8181818181818182,0.44554455445544555
IL,126.0,77.77777777777779,55.55555555555556,0.6984126984126984,0.8214285714285714,0.4107142857142857
LV,173.0,73.41040462427746,49.13294797687861,0.6647398843930635,0.8260869565217391,0.4318181818181818
UA,380.0,67.89473684210526,33.94736842105263,0.5605263157894737,0.8442622950819673,0.4103585657370518
IT,389.0,69.1516709511568,40.102827763496144,0.6169665809768637,0.85,0.43776824034334766
LT,193.0,65.28497409326425,38.34196891191709,0.6269430051813472,0.8507462686567164,0.4789915966386555
FR,239.0,62.34309623430963,44.76987447698745,0.7656903765690377,0.9222222222222223,0.6287878787878788
BG,319.0,67.39811912225704,47.02194357366771,0.7523510971786834,0.9326923076923077,0.5739644970414202
