,set_A,set_B
agea,0.013368587118479302,0.014313932028771648
clsprty,0.03209188698242278,0.03412525525102541
cntry,0.013706177101809635,0.0126775556707168
contplt,0.001504272494499337,0.001774268084554409
cptppola,0.0006350981153423696,
eduyrs,0.003170676387483784,0.0028091812791693595
efficacy_index,,0.0014632066858613513
gndr,0.0004956165437353333,0.00069368974745172
hinctnta,0.00491848158857906,0.004304505254486534
hinctnta_was_missing,5.956370754280904e-05,0.00021629829304430358
lr_extreme,0.002327946953060089,0.0023788573819630843
lrscale,0.0006820483362383279,0.0008785586929319411
polintr,0.011486692186931057,0.012057458978206426
psppipla,0.0002939522935281991,
psppsgva,0.0004811546204152251,
satisfaction_index,,0.0004094025610581253
sgnptit,0.0020542099648645394,0.002024516850600566
stfdem,3.268299466385738e-05,
stfeco,0.0003357812788386871,
stfgov,0.0003111196719847387,
trstlgl,0.0005590436961130374,
trstplt,0.0005693886313365315,
trstprl,0.001227293396395468,
trstprt,0.00018798336335554833,
trust_index,,0.0038576444787904894
