subgenre,parent
afrobeat,World
altrock,Rock
alternative,Alternative
ambient,Electronic
anime,Anime
blackmetal,Metal
bluegrass,Country
blues,Blues
breakbeat,Electronic
cantopop,World
chicagohouse,Electronic
children,children
chill,Electronic
classical,Classical
club,Electronic
comedy,Comedy
country,Country
dance,Electronic
dancehall,Reggae
deathmetal,Metal
deephouse,Electronic
detroittechno,Electronic
disco,R&B/Soul
disney,Disney
drumandbass,Electronic
dub,Reggae
dubstep,Electronic
edm,Electronic
electro,Electronic
electronic,Electronic
emo,Alternative
folk,Folk
funk,R&B/Soul
garage,Electronic
gospel,Gospel
goth,Alternative
grindcore,Metal
groove,Metal
grunge,Alternative
hardrock,Rock
hardcore,Metal
hardstyle,Electronic
heavymetal,Metal
hiphop,hip-hop
honkytonk,Country
house,Electronic
idm,Electronic
indiepop,Alternative
indie,pop
industrial,Electronic
jdance,Electronic
jidol,POP
jpop,pop
jrock,Rock
jazz,Jazz
kpop,pop
kids,children
latin,Latin
latino,Latin
mandopop,World
metal,Metal
metalcore,Metal
minimaltechno,Electronic
mpb,Latin
newage,Electronic
opera,Classical
pagode,Latin
party,Electronic
piano,Classical
popfilm,pop
pop,Pop
powerpop,Pop
progressivehouse,Electronic
psychrock,rock
punkrock,rock
punk,Alternative
rnb,R&B/Soul
reggae,Reggae
reggaeton,latin
rocknroll,rock
rock,Rock
rockabilly,Rock
sad,Alternative
salsa,latin
samba,Latin
showtunes,showtunes
ska,Reggae
soul,R&B/Soul
spanish,latin
synthpop,Pop
techno,Electronic
trance,Electronic
triphop,Electronic
